Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,month
85,"Angelo, dans la forêt mystérieuse","$158,309",461,158309.0,2025-02-06,CGV Mars Dagitim,False,2
86,Mickey 17,"$158,028",1324,167536.0,2025-03-14,CGV,False,3
87,Avatar: The Way of Water2025 Re-release,"$151,430",926,10731308.0,2025-10-03,CGV,False,10
88,De Me: Cuoc Phieu Luu Toi Xom Lay Loi,"$148,001",489,809029.0,2025-05-30,CGV,False,5
89,Out of the Nest,"$146,998",537,179552.0,2025-01-29,Lotte Entertainment,False,1
90,The Wind Rises2025 Re-release,"$146,854",532,146854.0,2025-10-17,CGV,False,10
91,Flesh Collector: The Headless Spirit,"$143,291",1110,1877783.0,2025-04-18,Galaxy Studio,False,4
92,Kang Mak,"$124,047",1236,124056.0,2025-01-03,Galaxy Studio,False,1
93,Trang Quynh Nhi: Truyen Thuyet Kim Nguu,"$119,741",690,122748.0,2025-06-11,CGV,False,6
94,Pororo: Underwater adventure,"$119,474",492,119474.0,2025-04-04,Lotte Entertainment,False,4
95,It Feeds,"$117,489",672,130312.0,2025-07-25,Galaxy Studio,False,7
96,Storm Crashers,"$116,739",482,116739.0,2025-09-12,CGV,False,9
97,Measure in Love,"$114,436",345,147796.0,2025-10-16,Lotte Entertainment,False,10
98,Wolfoo and the Three Realms Race,"$114,208",857,115361.0,2025-07-11,Galaxy Studio,False,7
99,Waktu Maghrib 2,"$113,091",713,128794.0,2025-07-17,CJ Entertainment,False,7
100,The Snow Queen and the Princess,"$108,399",580,108399.0,2025-03-22,CJ Entertainment,False,3
101,Big Deal,"$108,180",1082,124756.0,2025-06-26,CJ Entertainment,False,6
102,Re-Birth-Day,"$98,861",2330,122313.0,2025-10-30,Galaxy Studio,False,10
103,Kayara,"$96,693",370,96693.0,2025-04-04,CGV,False,4
104,Night of the Zoopocalypse,"$96,542",546,96542.0,2025-05-09,CGV,False,5
105,Black Phone 2,"$94,682",1223,94682.0,2025-10-31,CGV,False,10
106,Anh Trai Say Hi Concert Movie,"$92,014",278,591550.0,2025-02-26,CGV Mars Dagitim,False,2
107,Emma's Big Adventure,"$89,791",520,89791.0,2025-03-07,CGV Mars Dagitim,False,3
108,Jumbo,"$83,302",908,83302.0,2025-08-08,unknown,False,8
109,Pretty Crazy,"$82,461",704,109177.0,2025-09-01,CJ Entertainment,False,9
110,Doi Hanh Xac,"$82,376",202,82376.0,2025-09-26,CGV,False,9
111,M3GAN 2.0,"$81,178",226,81178.0,2025-06-27,Universal Pictures International (UPI),False,6
112,Ghost Train,"$80,189",808,89905.0,2025-07-10,Lotte Entertainment,False,7
113,Sorop,"$74,729",542,74729.0,2025-04-04,CJ Entertainment,False,4
114,Moana 2,"$74,319",5370,1220647.0,2025-11-30,Galaxy Studio,False,11
115,Colorful Stage! The Movie: A Miku Who Can't Sing,"$72,238",755,107680.0,2025-06-13,Galaxy Studio,False,6
116,The Prism of Youth: Blame it on the ghost,"$70,732",998,236571.0,2025-12-23,Galaxy Studio,False,12
117,Love Lies,"$70,212",643,70212.0,2025-03-21,CGV,False,3
118,The Last Dance,"$68,682",606,68682.0,2025-01-10,Lotte Entertainment,False,1
119,I Know What You Did Last Summer,"$68,160",746,76013.0,2025-07-17,Galaxy Studio,False,7
120,The Myth of Marakuda,"$68,104",572,68104.0,2025-07-11,CGV,False,7
121,Tron: Ares,"$67,574",388,214998.0,2025-10-10,Walt Disney Pictures,False,10
122,The Big Trip 3: Race Around the World,"$66,949",650,66949.0,2025-07-04,CGV,False,7
123,The Firefighters,"$64,529",1143,69141.0,2025-01-10,Lotte Entertainment,False,1
124,Halabala,"$64,402",1162,64402.0,2025-06-27,CGV,False,6
125,The Amateur,"$63,599",434,63599.0,2025-04-11,CGV,False,4
126,Tomb Watcher,"$62,732",767,62732.0,2025-07-04,Lotte Entertainment,False,7
127,Woolina and the No Birds,"$59,174",327,71114.0,2025-04-18,Galaxy Studio,False,4
128,The Day the Earth Blew Up: A Looney Tunes Movie,"$57,704",392,57704.0,2025-04-25,CGV,False,4
129,The Exit 8,"$56,962",615,62286.0,2025-09-24,CJ Entertainment,False,9
130,Beyond the Sin,"$56,290",873,61720.0,2025-03-27,CGV Mars Dagitim,False,3
131,The Master's Face,"$55,988",601,55988.0,2025-06-13,Lotte Entertainment,False,6
132,Companion,"$55,659",392,55659.0,2025-02-14,CGV Mars Dagitim,False,2
133,The Cat Returns,"$55,427",1663,55427.0,,unknown,False,
134,Pulung Gantung,"$54,389",341,56242.0,2025-08-01,CGV,False,8
135,The Green Dinosaur,"$52,944",347,89575.0,2025-04-30,CGV,False,4
136,Behind the Shadows,"$51,504",599,83806.0,2025-07-23,CGV,False,7
137,Possession Street,"$51,210",907,51210.0,,Galaxy Studio,False,
138,Haunting of Mount Gede,"$51,078",193,51078.0,2025-05-23,Lotte Entertainment,False,5
